cv_id,jd_id,expected_label,expected_score,group_gender,group_age,eval_source
CV_063,JD_002,APTO,65,F,46-58,sintetico_original
CV_083,JD_002,APTO,78,F,36-45,sintetico_original
CV_067,JD_002,APTO,66,F,23-35,sintetico_original
CV_079,JD_002,APTO,48,F,23-35,sintetico_original
CV_064,JD_002,APTO,72,M,23-35,sintetico_original
CV_062,JD_002,APTO,60,M,36-45,sintetico_original
CV_074,JD_002,APTO,56,M,36-45,sintetico_original
CV_080,JD_002,APTO,86,M,36-45,sintetico_original
CV_070,JD_002,APTO,80,M,23-35,sintetico_original
CV_068,JD_002,APTO,90,M,36-45,sintetico_original
CV_090,JD_002,APTO,65,M,46-58,sintetico_original
CV_086,JD_002,APTO,75,M,36-45,sintetico_original
CV_066,JD_002,APTO,70,M,46-58,sintetico_original
CV_072,JD_002,APTO,90,M,46-58,sintetico_original
CV_088,JD_002,APTO,66,M,23-35,sintetico_original
CV_082,JD_002,APTO,80,M,23-35,sintetico_original
CV_117,JD_002,NO_APTO,39,F,46-58,sintetico_original
CV_093,JD_002,NO_APTO,26,F,46-58,sintetico_original
CV_091,JD_002,NO_APTO,18,F,23-35,sintetico_original
CV_115,JD_002,NO_APTO,32,F,23-35,sintetico_original
CV_101,JD_002,NO_APTO,32,F,36-45,sintetico_original
CV_097,JD_002,NO_APTO,34,F,23-35,sintetico_original
CV_107,JD_002,NO_APTO,26,F,36-45,sintetico_original
CV_111,JD_002,NO_APTO,21,F,46-58,sintetico_original
CV_099,JD_002,NO_APTO,40,F,46-58,sintetico_original
CV_103,JD_002,NO_APTO,14,F,23-35,sintetico_original
CV_105,JD_002,NO_APTO,28,F,46-58,sintetico_original
CV_095,JD_002,NO_APTO,64,F,36-45,sintetico_original
CV_096,JD_002,NO_APTO,48,M,46-58,sintetico_original
CV_118,JD_002,NO_APTO,64,M,23-35,sintetico_original
CV_114,JD_002,NO_APTO,22,M,46-58,sintetico_original
CV_112,JD_002,NO_APTO,31,M,23-35,sintetico_original
CV_104,JD_002,NO_APTO,31,M,36-45,sintetico_original
CV_106,JD_002,NO_APTO,21,M,23-35,sintetico_original
CV_116,JD_002,NO_APTO,46,M,36-45,sintetico_original
CV_102,JD_002,NO_APTO,36,M,46-58,sintetico_original
CV_110,JD_002,NO_APTO,21,M,36-45,sintetico_original
CV_098,JD_002,NO_APTO,64,M,36-45,sintetico_original
CV_094,JD_002,NO_APTO,22,M,23-35,sintetico_original
CV_100,JD_002,NO_APTO,60,M,23-35,sintetico_original
CV_127,JD_003,APTO,76,F,23-35,sintetico_original
CV_149,JD_003,APTO,90,F,36-45,sintetico_original
CV_145,JD_003,APTO,70,F,23-35,sintetico_original
CV_123,JD_003,APTO,91,F,46-58,sintetico_original
CV_131,JD_003,APTO,76,F,36-45,sintetico_original
CV_141,JD_003,APTO,71,F,46-58,sintetico_original
CV_133,JD_003,APTO,81,F,23-35,sintetico_original
CV_139,JD_003,APTO,65,F,23-35,sintetico_original
CV_129,JD_003,APTO,65,F,46-58,sintetico_original
CV_147,JD_003,APTO,72,F,46-58,sintetico_original
CV_137,JD_003,APTO,70,F,36-45,sintetico_original
CV_143,JD_003,APTO,72,F,36-45,sintetico_original
CV_144,JD_003,APTO,56,M,46-58,sintetico_original
CV_136,JD_003,APTO,91,M,23-35,sintetico_original
CV_130,JD_003,APTO,95,M,23-35,sintetico_original
CV_128,JD_003,APTO,75,M,36-45,sintetico_original
CV_140,JD_003,APTO,70,M,36-45,sintetico_original
CV_150,JD_003,APTO,78,M,46-58,sintetico_original
CV_134,JD_003,APTO,71,M,36-45,sintetico_original
CV_146,JD_003,APTO,91,M,36-45,sintetico_original
CV_142,JD_003,APTO,75,M,23-35,sintetico_original
CV_126,JD_003,APTO,95,M,46-58,sintetico_original
CV_124,JD_003,APTO,56,M,23-35,sintetico_original
CV_148,JD_003,APTO,91,M,23-35,sintetico_original
CV_177,JD_003,NO_APTO,26,F,46-58,sintetico_original
CV_165,JD_003,NO_APTO,31,F,46-58,sintetico_original
CV_157,JD_003,NO_APTO,22,F,23-35,sintetico_original
CV_155,JD_003,NO_APTO,28,F,36-45,sintetico_original
CV_175,JD_003,NO_APTO,54,F,23-35,sintetico_original
CV_161,JD_003,NO_APTO,18,F,36-45,sintetico_original
CV_159,JD_003,NO_APTO,19,F,46-58,sintetico_original
CV_167,JD_003,NO_APTO,60,F,36-45,sintetico_original
CV_179,JD_003,NO_APTO,31,F,36-45,sintetico_original
CV_153,JD_003,NO_APTO,48,F,46-58,sintetico_original
CV_173,JD_003,NO_APTO,28,F,36-45,sintetico_original
CV_171,JD_003,NO_APTO,28,F,46-58,sintetico_original
CV_152,JD_003,NO_APTO,21,M,36-45,sintetico_original
CV_164,JD_003,NO_APTO,24,M,36-45,sintetico_original
CV_178,JD_003,NO_APTO,29,M,23-35,sintetico_original
CV_172,JD_003,NO_APTO,28,M,23-35,sintetico_original
CV_158,JD_003,NO_APTO,18,M,36-45,sintetico_original
CV_174,JD_003,NO_APTO,39,M,46-58,sintetico_original
CV_160,JD_003,NO_APTO,24,M,23-35,sintetico_original
CV_154,JD_003,NO_APTO,64,M,23-35,sintetico_original
CV_180,JD_003,NO_APTO,26,M,46-58,sintetico_original
CV_156,JD_003,NO_APTO,14,M,46-58,sintetico_original
CV_176,JD_003,NO_APTO,14,M,36-45,sintetico_original
CV_168,JD_003,NO_APTO,39,M,46-58,sintetico_original
CV_209,JD_004,APTO,75,F,36-45,sintetico_original
CV_203,JD_004,APTO,66,F,36-45,sintetico_original
CV_197,JD_004,APTO,90,F,36-45,sintetico_original
CV_201,JD_004,APTO,91,F,46-58,sintetico_original
CV_199,JD_004,APTO,80,F,23-35,sintetico_original
CV_207,JD_004,APTO,95,F,46-58,sintetico_original
CV_187,JD_004,APTO,82,F,23-35,sintetico_original
CV_189,JD_004,APTO,81,F,46-58,sintetico_original
CV_191,JD_004,APTO,86,F,36-45,sintetico_original
CV_183,JD_004,APTO,91,F,46-58,sintetico_original
CV_181,JD_004,APTO,68,F,23-35,sintetico_original
CV_195,JD_004,APTO,88,F,46-58,sintetico_original
CV_208,JD_004,APTO,88,M,23-35,sintetico_original
CV_206,JD_004,APTO,62,M,36-45,sintetico_original
CV_200,JD_004,APTO,90,M,36-45,sintetico_original
CV_184,JD_004,APTO,91,M,23-35,sintetico_original
CV_194,JD_004,APTO,86,M,36-45,sintetico_original
CV_204,JD_004,APTO,82,M,46-58,sintetico_original
CV_190,JD_004,APTO,86,M,23-35,sintetico_original
CV_210,JD_004,APTO,95,M,46-58,sintetico_original
CV_198,JD_004,APTO,86,M,46-58,sintetico_original
CV_196,JD_004,APTO,88,M,23-35,sintetico_original
CV_202,JD_004,APTO,86,M,23-35,sintetico_original
CV_186,JD_004,APTO,95,M,46-58,sintetico_original
CV_237,JD_004,NO_APTO,32,F,46-58,sintetico_original
CV_235,JD_004,NO_APTO,36,F,23-35,sintetico_original
CV_219,JD_004,NO_APTO,60,F,46-58,sintetico_original
CV_211,JD_004,NO_APTO,39,F,23-35,sintetico_original
CV_221,JD_004,NO_APTO,44,F,36-45,sintetico_original
CV_233,JD_004,NO_APTO,29,F,36-45,sintetico_original
CV_231,JD_004,NO_APTO,29,F,46-58,sintetico_original
CV_217,JD_004,NO_APTO,68,F,23-35,sintetico_original
CV_213,JD_004,NO_APTO,64,F,46-58,sintetico_original
CV_239,JD_004,NO_APTO,32,F,36-45,sintetico_original
CV_227,JD_004,NO_APTO,19,F,36-45,sintetico_original
CV_225,JD_004,NO_APTO,31,F,46-58,sintetico_original
CV_228,JD_004,NO_APTO,28,M,46-58,sintetico_original
CV_226,JD_004,NO_APTO,14,M,23-35,sintetico_original
CV_216,JD_004,NO_APTO,50,M,46-58,sintetico_original
CV_224,JD_004,NO_APTO,50,M,36-45,sintetico_original
CV_236,JD_004,NO_APTO,39,M,36-45,sintetico_original
CV_238,JD_004,NO_APTO,28,M,23-35,sintetico_original
CV_218,JD_004,NO_APTO,19,M,36-45,sintetico_original
CV_240,JD_004,NO_APTO,32,M,46-58,sintetico_original
CV_232,JD_004,NO_APTO,35,M,23-35,sintetico_original
CV_234,JD_004,NO_APTO,31,M,46-58,sintetico_original
CV_214,JD_004,NO_APTO,32,M,23-35,sintetico_original
CV_212,JD_004,NO_APTO,64,M,36-45,sintetico_original
CV_243,JD_005,APTO,85,F,46-58,sintetico_original
CV_251,JD_005,APTO,95,F,36-45,sintetico_original
CV_267,JD_005,APTO,90,F,46-58,sintetico_original
CV_253,JD_005,APTO,82,F,23-35,sintetico_original
CV_269,JD_005,APTO,76,F,36-45,sintetico_original
CV_255,JD_005,APTO,88,F,46-58,sintetico_original
CV_261,JD_005,APTO,86,F,46-58,sintetico_original
CV_259,JD_005,APTO,61,F,23-35,sintetico_original
CV_263,JD_005,APTO,80,F,36-45,sintetico_original
CV_245,JD_005,APTO,95,F,36-45,sintetico_original
CV_257,JD_005,APTO,91,F,36-45,sintetico_original
CV_247,JD_005,APTO,91,F,23-35,sintetico_original
CV_270,JD_005,APTO,86,M,46-58,sintetico_original
CV_246,JD_005,APTO,85,M,46-58,sintetico_original
CV_248,JD_005,APTO,66,M,36-45,sintetico_original
CV_258,JD_005,APTO,70,M,46-58,sintetico_original
CV_244,JD_005,APTO,95,M,23-35,sintetico_original
CV_242,JD_005,APTO,66,M,36-45,sintetico_original
CV_256,JD_005,APTO,86,M,23-35,sintetico_original
CV_264,JD_005,APTO,95,M,46-58,sintetico_original
CV_268,JD_005,APTO,91,M,23-35,sintetico_original
CV_252,JD_005,APTO,81,M,46-58,sintetico_original
CV_254,JD_005,APTO,62,M,36-45,sintetico_original
CV_262,JD_005,APTO,76,M,23-35,sintetico_original
CV_281,JD_005,NO_APTO,28,F,36-45,sintetico_original
CV_299,JD_005,NO_APTO,52,F,36-45,sintetico_original
CV_271,JD_005,NO_APTO,68,F,23-35,sintetico_original
CV_273,JD_005,NO_APTO,59,F,46-58,sintetico_original
CV_295,JD_005,NO_APTO,42,F,23-35,sintetico_original
CV_279,JD_005,NO_APTO,45,F,46-58,sintetico_original
CV_293,JD_005,NO_APTO,39,F,36-45,sintetico_original
CV_283,JD_005,NO_APTO,18,F,23-35,sintetico_original
CV_275,JD_005,NO_APTO,14,F,36-45,sintetico_original
CV_285,JD_005,NO_APTO,46,F,46-58,sintetico_original
CV_287,JD_005,NO_APTO,31,F,36-45,sintetico_original
CV_277,JD_005,NO_APTO,22,F,23-35,sintetico_original
CV_300,JD_005,NO_APTO,64,M,46-58,sintetico_original
CV_272,JD_005,NO_APTO,18,M,36-45,sintetico_original
CV_288,JD_005,NO_APTO,21,M,46-58,sintetico_original
CV_292,JD_005,NO_APTO,68,M,23-35,sintetico_original
CV_298,JD_005,NO_APTO,39,M,23-35,sintetico_original
CV_290,JD_005,NO_APTO,29,M,36-45,sintetico_original
CV_286,JD_005,NO_APTO,32,M,23-35,sintetico_original
CV_284,JD_005,NO_APTO,14,M,36-45,sintetico_original
CV_276,JD_005,NO_APTO,26,M,46-58,sintetico_original
CV_278,JD_005,NO_APTO,58,M,36-45,sintetico_original
CV_296,JD_005,NO_APTO,31,M,36-45,sintetico_original
CV_274,JD_005,NO_APTO,22,M,23-35,sintetico_original
